cluster,edad,edad2,educ,horastrab,nhogar,P21,PP04C
0,35.46,1310.35,11.77,38.49,3.09,471831.06,3.97
1,58.54,3478.3,10.28,31.43,2.95,429276.86,3.09
2,44.56,2069.58,14.45,43.54,2.76,1210857.43,8.83
